,uid,target
0,765186280,0
1,758903816,0
2,742191578,0
3,738412178,0
4,737849966,0
5,737280912,0
6,736763033,0
7,722585028,0
8,719147913,0
9,714545858,0
10,713245568,0
11,713039949,0
12,713033768,0
13,711326274,0
14,711110907,0
15,711019057,0
16,710947975,0
17,710432758,0
18,710403202,0
19,708731821,0
20,707988912,0
21,706513840,0
22,696045890,0
23,691698365,0
24,690279293,0
25,678561960,0
26,663070562,0
27,661462030,0
28,656160129,0
29,645487022,0
30,644969765,0
31,643828669,0
32,643771705,0
33,639820934,0
34,634941546,0
35,633757168,0
36,633267088,0
37,627650868,0
38,627642688,0
39,623752849,0
40,617829651,0
41,610253854,0
42,606899125,0
43,605161870,0
44,602246078,0
45,594990298,0
46,594920063,0
47,593497488,0
48,588340295,0
49,587579904,0
50,587040786,0
51,582560796,0
52,582048159,0
53,581818847,0
54,581180488,0
55,577913254,0
56,575409658,0
57,575228743,0
58,571085063,0
59,570091408,0
60,568228511,0
61,566051499,0
62,565706680,0
63,565677499,0
64,562437726,0
65,559054985,0
66,555894431,0
67,555001484,0
68,554658916,0
69,551273446,0
70,550988845,0
71,549416532,0
72,547635306,0
73,545537936,0
74,545194780,0
75,542429523,0
76,541905777,0
77,540602704,0
78,532866026,0
79,531341092,0
80,529381274,0
81,528705169,0
82,526835132,0
83,526342304,0
84,525338304,0
85,525134305,0
86,524105694,0
87,523306170,0
88,522989247,0
89,520418064,0
90,518099808,0
91,517198999,0
92,514392150,0
93,513994048,0
94,512902144,0
95,500909681,0
96,499671669,0
97,499498167,0
98,489244143,0
99,487775517,0
100,486327728,0
101,486323721,0
102,474583999,0
103,474478599,0
104,471558437,0
105,466484878,0
106,464566249,0
107,458463347,0
108,452583786,0
109,449231395,0
110,448726669,0
111,445648129,0
112,444660358,0
113,444608963,0
114,442934722,0
115,442924707,0
116,440930249,0
117,439655480,0
118,437673693,0
119,435037561,0
120,433127659,0
121,432586739,0
122,431270639,0
123,431191851,0
124,430837333,0
125,430729113,0
126,425595864,0
127,424869637,0
128,423367960,0
129,422608335,0
130,421963765,0
131,419884750,0
132,408822527,0
133,403505481,0
134,402906530,0
135,402188027,0
136,400019399,0
137,398937071,0
138,398346161,0
139,398211348,0
140,397820043,0
141,395821436,0
142,395489409,0
143,394602530,0
144,394371293,0
145,394342714,0
146,390152751,0
147,388969395,0
148,387056449,0
149,383190464,0
150,379860780,0
151,374819726,0
152,367666788,0
153,363621786,0
154,359242409,0
155,356040122,0
156,352654070,0
157,352074435,0
158,338132427,0
159,338083792,0
160,337450691,0
161,336593694,0
162,336223001,0
163,332256507,0
164,332180353,0
165,329753213,0
166,328380216,0
167,328104201,0
168,323080909,0
169,320278433,0
170,313521149,0
171,313514828,0
172,307415656,0
173,300727113,0
174,298804374,0
175,295295588,0
176,292956094,0
177,287294992,0
178,286245018,0
179,283431139,0
180,283424829,0
181,282768608,0
182,281307844,0
183,278142744,0
184,277437181,0
185,276560945,0
186,275486950,0
187,272350299,0
188,266230271,0
189,265021947,0
190,264666668,0
191,260944844,0
192,260804836,0
193,260437009,0
194,260021826,0
195,258579163,0
196,252283513,0
197,249348246,0
198,248825161,0
199,246977125,0
200,246724530,0
201,246038992,0
202,243502283,0
203,243185695,0
204,241243829,0
205,240297907,0
206,240108832,0
207,238226961,0
208,237882240,0
209,235908449,0
210,234592036,0
211,233989279,0
212,233678353,0
213,228376954,0
214,221253591,0
215,217407791,0
216,214740673,0
217,213992094,0
218,213606801,0
219,211599611,0
220,208763248,0
221,207845925,0
222,207477759,0
223,206303171,0
224,203896170,0
225,201565791,0
226,201099538,0
227,200045999,0
228,198558257,0
229,198327620,0
230,198070683,0
231,197532625,0
232,197461063,0
233,195286779,0
234,194482858,0
235,193089180,0
236,192628004,0
237,191233091,0
238,189282013,0
239,188936971,0
240,182248831,0
241,182034662,0
242,181081567,0
243,178133748,0
244,177830729,0
245,176297336,0
246,175263350,0
247,174819761,0
248,174464171,0
249,173292850,0
250,172417855,0
251,172027867,0
252,171359523,0
253,170079868,0
254,169857884,0
255,169771030,0
256,169509958,0
257,167115754,0
258,166321652,0
259,166122176,0
260,163913709,0
261,163373383,0
262,163290904,0
263,163224274,0
264,160525860,0
265,159600003,0
266,159198612,0
267,157689804,0
268,156419321,0
269,156353404,0
270,156027479,0
271,154935339,0
272,154777331,0
273,153762649,0
274,153276847,0
275,153113142,0
276,151990307,0
